Model,Micro-F1,Macro-F1,Hamming Loss,Jaccard
LightGBM,0.920197802,0.93261988,0.008962491,0.855470046
RandomForest,0.918440327,0.930361573,0.008899403,0.852923825
XGBoost,0.921633547,0.950443296,0.008742184,0.857897812
