Model,Micro-F1,Macro-F1,Hamming Loss,Jaccard
LightGBM,0.918163015,0.934687489,0.008953393,0.856972517
RandomForest,0.919217419,0.932131751,0.008895128,0.854693739
XGBoost,0.919355743,0.95210916,0.008749945,0.858042572
