Model,Micro-F1,Macro-F1,Hamming Loss,Jaccard
LightGBM,0.919369056,0.933261974,0.008958763,0.8559625
RandomForest,0.918394854,0.931032859,0.00889433,0.853698214
XGBoost,0.920806873,0.951208692,0.008742268,0.857619048
