Model,Micro-F1,Macro-F1,Hamming Loss,Jaccard
LightGBM,0.919138368,0.932619925,0.008960575,0.856531617
RandomForest,0.918035289,0.931241136,0.008893548,0.853856003
XGBoost,0.920005866,0.950836986,0.00873566,0.857205298
