Model,Micro-F1,Macro-F1,Hamming Loss,Jaccard
LightGBM,0.919795632,0.932437127,0.008950173,0.855417808
RandomForest,0.918269852,0.930645818,0.008888987,0.853881836
XGBoost,0.921664388,0.95155918,0.008734127,0.857296087
